,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,981,1040,1667,1628,1844,1836,1461,1865,6468,7815
1,600265,388,411,467,486,466,430,441,316,302,290
2,002556, ,2559,4337,4879,3490,4145,3534,5665,5403,6335
3,002385,1012,667,972,1560,2627,3739,4079,5547,7194,6790
4,000713,796,561,599,556,673,445,489,668,779,807
5,002714, , , , ,1822,2404,4115,8335,13716,17952
6,002891, , , , , , , ,255,307,792
7,600371,419,428,579,599,554,350,367,287,289,244
8,600598,8246,13271,12995,11595,5094,3542,3111,3835,4069,4202
9,000860,5970,7788,7442,9899,11710,10644,12073,11345,10452,13247
10,600354,1439,1898,2333,2334,1971,2290,1500,1543,1094,1235
11,600506,72,46,23,18,18,16,16,14,15,16
12,601952, , , , , , , , ,1172,1429
13,600313,198,140,334,545,720,662,1380,1724,1569,1281
14,603668, , , , , , , ,402,627,1128
15,603336, , , , , , , ,32,29,122
16,300189, ,84,36,137,176,222,210,1178,411,85
17,600108,1922,1683,1573,1748,2160,2755,2838,3147,3284,3826
18,002746, , , , , ,485,447,446,555,684
19,002041,357,453,594,669,742,781,981,631,476,441
20,002157,1278,1719,1991,3817,4960,5184,5667,6114,10077,14921
21,601118, ,3045,1488,1728,3180,3150,5079,5798,5055,4086
22,002311,863,1611,2488,4212,3708,4135,3869,6174,8008,10819
23,300498, , , , , , ,8010,10111,14924,17648
24,002299,560,1719,2293,3623,5052,6585,5335,5498,6413,5824
25,002696, , , ,267,370,599,702,730,1156,1481
26,002124,413,528,621,789,1242,1189,820,1386,2090,4114
27,600359,2068,2696,3435,1742,1417,1497,2146,2207,1708,1783
28,002086,596,747,848,1067,1216,1488,793,955,1077,1398
29,002240,1519,1864,1519,1441,1241,1127,1019,1002,800,1475
30,600076,164,122,164,209,285,541,732,869,1609,2110
31,300094, ,237,509,647,692,879,824,1350,1962,2404
32,300106, ,196,306,442,555,927,1440,1731,1712,431
33,002200,508,477,577,820,1281,1423,1940,2540,2669,2747
34,600275,2752,2557,2556,91,90,149,186,184,173,79
35,000592,561,723,617,536,474,823,306,708,808,776
36,300087, ,41,241,248,283,278,327,462,428,617
37,002069,1367,1510,1975,2210,3025,3666,3548,3455,3298,3146
38,002234,448,469,388,708,1192,953,1095,1260,1571,1386
39,300313, , , ,42,68,204,547,462,321,1169
40,600540,852,1366,2083,1145,1626,1551,1538,1807,1606,1119
41,600467,505,732,882,1055,1310,1866,2098,2223,2663,3038
42,600257,513,560,547,693,518,687,718,247,254,428
43,002679, , , ,334,709,827,940,923,864,902
44,300262, , ,78,391,544,635,1401,1693,2379,3528
45,300761, , , , , , , , , ,1417
46,600097,601,612,648,569,455,428,398,908,317,689
47,002321,908,1155,1411,1762,2266,3093,3174,4090,5241,5706
48,000798,55,99,181,98,72,211,291,310,314,213
49,000663,961,1139,1160,1039,1008,992,1962,2210,1875,2013
50,600975,319,184,248,317,568,740,563,572,476,399
51,002458, ,302,474,512,966,1149,952,454,923,641
52,002688, , , ,139,99,690,698,1106,1287,1631
53,002100,1008,1187,1088,1116,1002,1171,1363,1643,2899,5808
54,000735,877,1561,1798,2701,2455,2387,2730,2241,2503,2171
55,600965,120,127,152,194,227,286,333,796,561,695
56,603363, , , , , , , , ,2037,2486
57,300511, , , , , , , ,1268,2251,2149
