,¹ÉÆ±´úÂë,2009
0,000998,
1,600265,
2,002556,
3,002385,
4,000713,
5,002714,
6,002891,
7,600371,
8,600598,
9,000860,
10,600354,
11,600506,
12,601952,
13,600313,
14,603668,
15,603336,
16,300189,
17,600108,
18,002746,
19,002041,
20,002157,
21,601118,
22,002311,
23,300498,
24,002299,
25,002696,
26,002124,
27,600359,
28,002086,
29,002240,
30,600076,
31,300094,
32,300106,
33,002200,
34,600275,
35,000592,
36,300087,
37,002069,
38,002234,
39,300313,
40,600540,
41,600467,
42,600257,
43,002679,
44,300262,
45,300761,
46,600097,
47,002321,
48,000798,
49,000663,
50,600975,
51,002458,
52,002688,
53,002100,
54,000735,
55,600965,
56,603363,
57,300511,
58,002505,
59,002772,
60,300143,
61,600189,
62,200992,
